IngredientID,IngredientName
501,all-purpose flour
502,white sugar
503,baking powder
504,baking soda
505,salt
506,fat-free greek yogurt
507,fat-free buttermilk
508,"butter, melted"
509,"egg, lightly beaten"
510,poppy seed
511,vanilla extract
512,water
513,bourbon whiskey
514,soy sauce
515,packed brown sugar
516,Worcestershire sauce
517,lemon juice
518,beef rib-eye steaks
519,broccoli with long stems
520,"olive oil, divided"
521,salt and ground black pepper to taste
522,"garlic, minced"
523,"raw shrimp, peeled and deveined"
524,dry white wine
525,lemon juice
526,butter
527,minced fresh basil
528,chopped fresh chives
529,crushed red pepper
530,egg
531,half-and-half cream
532,canned pumpkim puree
533,ground cinnamon
534,vanilla extract
535,pumpkin pie spice
536,finely chopped walnuts
537,day-old bread
538,orzo pasta
539,olive oil
540,garlic
541,crushed red pepper
542,chicken breast galves- cut into bite-size pieces
543,salt
544,chopped fresh parsley
545,spinach leaves
546,ground beef
547,chopped onion
548,ketchup
549,white sugar
550,white vinegar
551,prepared yellow mustard
552,celery seed
553,Worcrstershire sauce
554,ground black pepper
555,salt
