Step_IngredD,StepID,IngredientID,IngredientAmt,AmtUnits
401,300,,,
402,301,501,2,cup
403,301,502,0.75,cup
404,301,503,2,teaspoons
405,301,504,1,teaspoons
406,301,505,0.5,teaspoons
407,302,506,1,cup
408,302,507,0.75,cup
409,302,508,0.25,cup
410,302,509,1,large
411,302,510,1,tablespoon
412,302,511,1,teaspoons
413,303,512,1,cup
414,304,513,0.66,cup
415,304,514,0.5,cup
416,304,515,0.25,cup
417,304,516,3,tablespoon
418,304,517,2,tablespoon
419,304,518,6,ounce
420,305,,,
421,306,,,
422,307,519,2,large head
423,308,520,2,tablespoon
424,308,521,2,tablespoon
425,309,522,2,cloves
426,309,523,1,pound
427,310,524,2,tablespoon
428,310,525,2,tablespoon
429,310,526,2,tablespoon
430,310,527,1,tablespoon
431,310,528,1,tablespoon
432,310,529,0.5,tablespoon
433,311,,,
434,312,,,
435,313,530,3,large
436,313,531,0.5,cup
437,313,532,0.25,cup
438,313,533,1,teaspoons
439,313,534,1,teaspoons
440,313,535,0.25,teaspoons
441,313,536,0.25,cup
442,313,537,8,slices
443,314,538,1,cup
444,315,539,2,tablespoon
445,315,540,2,cloves
446,315,541,0.25,teaspoons
447,315,542,2,"skinless, boneless"
448,315,543,2,teaspoons
449,315,544,1,tablespoon
450,315,545,2,cup
451,316,546,2,pound
452,316,547,0.5,cup
453,316,548,1.5,cup
454,316,549,0.25,cup
455,316,550,0.25,cup
456,316,551,0.25,cup
457,316,552,0.5,teaspoons
458,316,553,0.75,teaspoons
459,316,554,0.5,teaspoons
460,316,555,0.75,teaspoons
